reason,company,product_descrpition,brand_name,date
Adverse reaction,"Teva Animal Health, Inc.",Animal Drug,Ketamine,12/2009
Salmonella,Whole Foods Market,Hazelnuts,Whole Foods Market,12/2009
Salmonella,Evonuk Oregon Hazelnuts,Hazelnuts,Evonuk Oregon Hazelnuts,12/2009
Salmonella,Harry and David,Hazelnuts,Harry and David,12/2009
Salmonella,Mountain Man Nut &amp; Fruit Co.,Hazelnuts,Mountain Man Nut &amp; Fruit Co.,12/2009
"Presence of 2,4,6-tribromoanisole","McNeil-PPC, Inc.",Drugs,Tylenol,12/2009
Salmonella,Kunze Farms,Hazelnuts,Kunze Farms,12/2009
Salmonella,Willamette Shelling,Hazelnuts,Willamette,12/2009
Salmonella,Willamette Shelling,Hazelnuts,Willamette,12/2009
Allergen,Faribault Foods,Pre-Packaged Meals,Health Valley Organic,12/2009
May contain particulate matter,The Medicines Company,Drugs,Cleviprex,12/2009
Undeclared ingredient,"Atlas Operations, Inc.",Dietary Supplement,"Aspire One, Sex Enhancer, Staminil",12/2009
Allergen,"Simple Foods, Inc.","Candy, Snack Food, Cake and Pie Product","Simple Foods, Inc.",12/2009
Allergen,Organicgirl Produce,Salad,Organicgirl Produce,12/2009
Salmonella,Pet Carousel,Dog Food,Pet Carousel,12/2009
Mislabeled,Bayer HealthCare,Drugs,Alka-Seltzer,12/2009
Allergen,Rock Creek Nut Company,Snack Mix,Quick Fix,12/2009
Mislabeled,College Inn,Broth,College Inn,12/2009
Bacillus cereus,"Unilever United States, Inc.",Beverage,Slim-fast,12/2009
Allergen,"Snax in Pax, Inc.",Snack Food,"Jay&#39;s, Mike Sell&#39;s, Copper Kettle, more",12/2009
Undeclared Sulfites,Sunny Lake Trading Inc.,Chinese Herb,Sunny Lake Trading Inc.,12/2009
Allergen,"La Espiga de Oro, Inc.",Tortilla,Fiesta,11/2009
Potential for Thiamine Deficiency,Diamond Pet Foods,Cat Food,Premium Edge,11/2009
Allergen,"Vita Food Products, Inc.",Dairy,Elf,11/2009
Allergen,"Rikki USA, Inc.",Dressing and Seasoning Product,Toi Sauce,11/2009
Salmonella,Timco Worldwide Inc.,Fruit and Vegetables,Timco Worldwide Inc.,11/2009
Allergen,"Wegmans Food Markets, Inc.",Dressing and Seasoning Product,Wegmans,11/2009
Allergen,"Unilever United States, Inc.",Pre-Packaged Meals,Shedd&#39;s,11/2009
Salmonella,Five Crowns Marketing,Fruit and Vegetables,Majesty,11/2009
Allergen,Fresh &amp; Easy Neighborhood Market Inc.,Cake and Pie Product,Fresh &amp; Easy,11/2009
Listeria monocytogenes,Service Smoked Fish Corp.,Fish,Brooklyn&#39;s Best,11/2009
B. cepacia,The Procter &amp; Gamble Company,Drugs,Vicks,11/2009
Allergen,Nassau Candy Distributors,"Candy, Snack Food",Tasty Dish,11/2009
Allergen,Superior Foods Co.,Fish,Superior,11/2009
Allergen,"Snacks on Racks, Inc.",Snack Food,Snacks on Racks,11/2009
Manufacturing problem,"Cardiovascular Systems, Inc.",Medical Device,ViperSheath,11/2009
Manufacturing problem,Cardiac Science Corporation,Defibrillators,Cardiac Science,11/2009
Allergen,ConAgra Foods,Ice Cream,Blue Bonnet,11/2009
Undeclared ingredient,IDS Sports,Dietary Supplement,"Bromodrol, Dual Action Grow Tabs, Mass Tabs, more",11/2009
Undeclared ingredient,"GMP Herbal Products, Inc.",Dietary Supplement,Pai You Guo,11/2009
Undeclared ingredient,RockHard Laboratories,Dietary Supplement,Rockhard Weekend,11/2009
May contain particulate matter,"Hospira, Inc.",Drugs,Liposyn,11/2009
Salmonella,PetSmart,Dog Food,Dentley,11/2009
Manufacturing problem,Stryker Corporation&#39;s Instruments,Medical Device,Stryker Corporation&#39;s Instruments,11/2009
Allergen,Jelly Belly Candy Company,Candy,Jelly Belly,11/2009
Allergen,Pelican Bay,Beverage Mix,Pelican Bay,11/2009
Undeclared ingredient,Bodybuilding.com,Dietary Supplement,"Black China Labs, Advanced Muscle Science, Engineered Sports Technology, more",11/2009
Allergen,Charleston Cookie Company,Cookies,Dean and Deluca,11/2009
Adverse reaction,American Regent,Drugs,American Regent,11/2009
Allergen,"Alexia Foods, Inc.",Fruit and Vegetables,Alexia,10/2009
Allergen,Morningstar Foods,"Dairy, Ice Cream","Great Value, Kroger, Wholesome Farms",10/2009
Inaccurate glucose values,"Pointe Scientific, Inc",Reagent,Pointe Scientific,10/2009
Allergen,Mrs. Rios Corn,Tortilla,"La Bonita, La Grande, Bernard&#39;s, more",10/2009
Inaccurate glucose values,"Pointe Scientific, Inc",Reagent,Pointe Scientific,10/2009
Manufacturing problem,Qualitest Pharmaceuticals,Insulin Syringes,Accusure,10/2009
Allergen,Pop&#39;s Bakery Inc.,Flour tortillas,Pop&#39;s Bakery,10/2009
Salmonella,San Link Inc.,Fish,San Link Inc.,10/2009
Allergen,Mars Snackfood US,Ice Cream,Dove,10/2009
Clostridium botulinum,San Link Inc.,Fish,San Link Inc.,10/2009
Manufacturing problem,Cordis Corporation,Catheter,Crossover,10/2009
Allergen,Agro Foods Inc.,Snack Mix,"Agro Foods, Inc.",10/2009
Allergen,"Unilever United States, Inc.",Ice Cream,Breyers,10/2009
Allergen,International Bazaar Inc.,Topping Product,Kroger,10/2009
Adverse reaction,American Regent,Drugs,American Regent,10/2009
Clostridium botulinum,Plum Organics,Baby Food,Plum Organics,10/2009
Allergen,Domega International Co Ltd,Cake and Pie Product,Domega International Co Ltd,10/2009
Allergen,Hannaford Supermakets,Pre-Packaged Meals,Taste of Inspirations,10/2009
Uneviscerated Fish,TGF Production LLC,Fish,TGF Production LLC,10/2009
Manufacturing problem,Land O&#39; Lakes Purina Feed LLC,Animal Feed,Country Acres,10/2009
Listeria monocytogenes,Fisher/Rex,Sandwich,Fisher/Rex,10/2009
Manufacturing problem,Unomedical Inc.,Medical Device,Unomedical Inc.,10/2009
Allergen,"Affy Tapple, LLC",Candy,"Affy Tapple, LLC",10/2009
Lead,Texas Department of  State,Fruit and Vegetables,"Alamo Packing, Almax International, Bolner&#39;s Fiesta Products",10/2009
Manufacturing problem,"Penumbra,  Inc.",Catheter,Penumbra,09/2009
Manufacturing problem,Phillips,Defibrillators,HeartStart,09/2009
Incorrect ingredient levels,"Nutricia North America, Inc.",Infant Formula,Neocate,09/2009
Allergen,"Adamba Imports International, Inc.",Fruit and Vegetables,Ziolopex,09/2009
Allergen,Associated Brands Inc.,Dressing and Seasoning Product,Price Rite,09/2009
Allergen,Americas Favorite Noshers,Fruit and Vegetables,Nosher&#39;s Choice,09/2009
Allergen,"Garden-Fresh Foods, Inc.",Potato Salad,Archer Farms,09/2009
Allergen,Better Buns Inc.,Cake and Pie Product,Europa Baking Company,09/2009
Salmonella,"Ippolito International, LP",Fruit and Vegetables,"Tubby, Queen Victoria",09/2009
Allergen,Glister-Mary Lee Corp,Cereal,Great Value,09/2009
Allergen,Y.S. Trading Corp,Cookies,Choco Sanddo,09/2009
Salmonella,"Muranaka Farm, Inc.",Fruit and Vegetables,"Muranaka Farm, Inc.",09/2009
Salmonella,"Kilwin&#39;s Quality Confections, Inc.","Candy, Peanuts","Kilwin&#39;s Quality Confections, Inc.",09/2009
Manufacturing problem,Smiths Medical,Trachael Tube,Portex,09/2009
Manufacturing problem,CONMED Corporation,Medical Device,CONMED,09/2009
Allergen,"AFC Trading &amp; Wholesale, Inc.",Fruit and Vegetables,AFC,09/2009
Salmonella,Premier Organics,Dressing and Seasoning Product,Artisana,09/2009
Pseudomonas aeruginosa,"Arbonne International, LLC",Personal Care Product,Seasource Detox Spa,09/2009
Allergen,Shining Marble Corporation,Fish,Shil La Dang,09/2009
Listeria monocytogenes,Georgia Department of Agriculture,Pre-Packaged Meals Product,Kellogg,09/2009
Allergen,"Petri Baking Products, Inc.",Cookies,Stop &amp; Shop,08/2009
Salmonella,The Texas Coffee Company,Fruit and Vegetables,Texjoy,08/2009
Salmonella,Steinbeck Country Produce,Fruit and Vegetables,Steinbeck Country Produce,08/2009
Allergen,Chef Pierre,Cake and Pie Product,Chef Pierre,08/2009
Allergen,"Snack King Foods, Inc.",Snack Mix,Island Snacks,08/2009
Listeria monocytogenes,"Quesos Mi Pueblito, LLC",Cheese,"La Fe, El Viejito, Mi Pueblito",08/2009
Salmonella,Melon Acres,Fruit and Vegetables,Farm-Wey Produce,08/2009
Allergen,The Kroger Co.,Bread,Kroger,08/2009
Manufacturing problem,Qualitest Pharmaceuticals,Medical Device,Accusure,08/2009
"Undeclared ingredient, Unapproved new drug",Nutracoastal Trading LLC,Dietary Supplement,Steam,08/2009
Allergen,New York State Agriculture,Snack Mix,Cleopatra Candy,08/2009
Allergen,Van&#39;s International Foods,Pre-Packaged Meals Product,Van&#39;s,08/2009
Listeria monocytogenes,"Quesos Mi Pueblito, LLC",Cheese,Mi Pueblito,08/2009
Allergen,Shun Fung International Trading,Cake and Pie Product,Yummy Foods Company,08/2009
Manufacturing problem,"Hospira, Inc.",Medical Device,"LifeCare, Plum",08/2009
Listeria monocytogenes,SUPERVALU INC.,Pre-Packaged Meals Product,Culinary Circle,08/2009
Incorrect ingredient levels,"Barr Laboratories, Inc.",Drugs,"Barr Laboratories, Inc.",08/2009
Listeria monocytogenes,Peregrina Cheese Corporation,"Cheese, Cake and Pie Product, Gelatin, Dairy","Peregrina, Chipilo",08/2009
Allergen,Libert� Brand Products,Yogurt,Libert�,08/2009
Salmonella,R.A.M. Produce Distributors,Fruit and Vegetables,"Omo, Fu Choy",08/2009
Salmonella,"Adams Extract and Spice, LLC",Dressing and Seasoning Product,"Adams, REX, Carniceria",08/2009
Salmonella,"United Food Group, Inc.","Pre-Packaged Meals Product, Topping Product, Dairy, Beverage","Victoria Inn, Perfect Servings, Herico",07/2009
Allergen,Tiffany Food Corporation,Candy,Bifeng,07/2009
Allergen,Tiffany Food Corp.,Fruit and Vegetables,Chi Ling Gourmet Foods,07/2009
Manufacturing problem,CareFusion Corporation,Medical Device,CareFusion,07/2009
Adverse reaction,Abbott,Catheter,Powersail,07/2009
Salmonella,Frontera Produce,Dressing and Seasoning Product,Frontera Produce,07/2009
"Undeclared ingredient, Unapproved new drug",Nutracoastal Trading LLC,Dietary Supplement,S-DROL,07/2009
Salmonella,Fireside Coffe Co.,Beverage,Fireside,07/2009
Salmonella,"Tanimura &amp; Antle, Inc.",Fruit and Vegetables,"Tanimura &amp; Antle, Inc.",07/2009
"Undeclared ingredient, Unapproved new drug",Nutracoastal Trading LLC,Dietary Supplement,Steam,07/2009
Salmonella,"Tanimura &amp; Antle, Inc.",Fruit and Vegetables,"Tanimura &amp; Antle, Inc.",07/2009
Adverse reaction,Dr�ger Medical Inc,Infant Warmer,Stabilet,07/2009
Salmonella,Sweet Superior Fruit LTD. Co.,Dressing and Seasoning Product,Sweet Superior Fruit LTD. Co.,07/2009
Allergen,Hiland-Roberts Ice Cream,Ice Cream,Espo&#39;s,07/2009
"Bacillus subtilis, Bacillus circulans",Luv N&#39; Care,Gel Filled Teethers,"Nuby, Cottontails, Playschool",07/2009
Incorrect ingredient levels,Teva Pharmaceuticals,Medical Device,Teva,07/2009
"Undeclared ingredient, Unapproved new drug",Nature &amp; Health Co.,Dietary Supplement,"LibieXtreme, Y-4ever, Libimax X Liquid, more",07/2009
Undeclared ingredient,Young You Corporation,Dietary Supplement,"Slimbionic, One Weight Loss Pill, SlimDemand, more",07/2009
Listeria monocytogenes,Chang Farm,Fruit and Vegetables,Chang Farms,07/2009
Undeclared ingredient,Haloteco,Dietary Supplement,Libipower Plus,07/2009
Incorrect ingredient levels,"Brookstone Pharmaceuticals, LLC",Acetaminophen Drops,Brookstone,07/2009
Allergen,New York State Agriculture,Fruit and Vegetables,Maya Overseas Foods,07/2009
Salmonella,Trans-Packers Services Corp.,Dairy,Dairy Shake,07/2009
Salmonella,Malt-O-Meal Company,Pre-Packaged Meals Product,"STCO, FASTCO, Good &#39;N Hearty, more",07/2009
Salmonella,"Weight Loss Services, LP",Beverage,L A Weight Loss,07/2009
Salmonella,Godiva Chocolatier,Candy,G Collection,07/2009
Salmonella,Country Creations,Frosting,Country Creations,07/2009
Salmonella,Diamond Crystal Brands Inc.,"Beverage Mix, Dairy","Caf� Delight, Chefs Blend, Chefs Supreme, more",07/2009
Salmonella,"Kesso Foods, Inc.",Yogurt,Kesso,07/2009
Listeria monocytogenes,"Haifa Smoked Fish, Inc",Fish,Haifa Smoked Fish,07/2009
Manufacturing problem,"Medtronic, Inc.",Insulin pump,Quick-Set,07/2009
Incorrect ingredient levels,Covidien,Blood test,Mallinckrodt,07/2009
Salmonella,Nutrition Global LLC,Dietary Supplement,"SNI Pro Whey, Sci Labs Mass Fuzion",07/2009
Salmonella,"Sturm Foods, Inc",Dairy,"Americas Choice, Pathmark, Stop &amp; Shop, more",07/2009
Salmonella,Clif Bar &amp; Company,Drink Mix,Clif Shot,07/2009
Salmonella,Herring Produce Company,Fruit and Vegetables,Herring Produce Company,07/2009
Salmonella,Plentiful Pantry,Dairy,Plentiful Pantry,07/2009
Salmonella,General Mills,Snack Food,Nature Valley,07/2009
Salmonella,"Lewis Laboratories International, Ltd.",Beverage,Lewis Labs,07/2009
Salmonella,"Calico Cottage, Inc.",Dairy,"Calico Cottage, Inc.",07/2009
Salmonella,Trans-Packers Services Corp.,Dairy,Dairy Shake,07/2009
Salmonella,Traditional Meal Solutions,Pre-Packaged Meals Product,Traditions Meal Solutions,07/2009
Salmonella,Vital Pharmaceuticals Inc.,Dietary Supplement,Vital Pharmaceuticals,07/2009
Salmonella,The C. F. Sauer Company,Dressing and Seasoning Product,"Sauer&#39;s, Gold Medal, Piggly Wiggly",07/2009
Salmonella,Kowalke Family Sprouts,Fruit and Vegetables,Kowalke,07/2009
Allergen,Publix,Dietary Supplement,Publix,07/2009
Adverse reaction,Protica Inc.,Dietary Supplement,Protica Inc.,07/2009
Salmonella,Max Muscle Sports Nutrition,Dietary Supplement,"Max Gourmet, Max Lean, High Five, more",07/2009
Salmonella,Meijer,Dairy,Meijer,07/2009
Salmonella,NOW Foods,Dietary Supplement,NOW Foods,07/2009
Salmonella,Precision Foods Inc.,Beverage Mix,Land O&#39; Lakes,07/2009
Salmonella,Robertsjohn.com,Beverage Mix,"Rich, Rich, Rich",07/2009
Salmonella,McClancy Seasoning Co.,Dairy,Alba,07/2009
Salmonella,"CPI Foods, Inc",Dairy,"CPI Foods, Inc",07/2009
Salmonella,Giant Food,Dairy,Giant,07/2009
Salmonella,Stop &amp; Shop,Dariy,Stop &amp; Shop,07/2009
Incorrect ingredient levels,North Coast Seafood,Fish,"Shaw&#39;s, Star Market, Big Y",06/2009
Salmonella,The Kroger Co.,Snack Food,Kroger,06/2009
Allergen,City Baking LLC,Cake and Pie Product,City Baking,06/2009
Salmonella,Nuts For You,Peanuts,Nuts For You,06/2009
Allergen,"La Mexicana, Inc.",Snack Food,Solena,06/2009
Allergen,"Unilever United States, Inc.",Pre-Packaged Meals Product,Knorr,06/2009
E. coli,Nestl� USA,"Cookies, Brownie",Nestle Toll House,06/2009
Mislabeled,Hy-Vee Inc.,Dressing and Seasoning Product,Hy-Vee,06/2009
Allergen,Smith Dairy,Beverage,Smith&#39;s,06/2009
Salmonella,Wirth&#39;s Nutcracker Sweet,Pistachios,Wirth&#39;s Nutcracker Sweet,06/2009
"Undeclared ingredient, Unapproved new drug","Hi-Tech Pharmaceuticals, Inc.",Dietary Supplement,Stamina-Rx,06/2009
Listeria monocytogenes,Torres Hillsdale Country Cheese,Cheese,"Queso Asadero, Queso Oaxaca, Queso Fresco, more",06/2009
Allergen,"R.E. Kimball and Company, Inc.",Soup? Seafood?,"R.E. Kimball and Company, Inc.",06/2009
Mislabeled,FoodScience Corporation,Dietary Supplement,"Sherlock Vitamins, DaVinci, Foodscience, more",06/2009
Glass jar may chip,"Knouse Foods, Inc.",Snack Food? Apple Sauce,"Apple Barn, Better Valu, Flavorite, more",06/2009
Lead,"Chulada, Inc.",Fruit and Vegetables,Chulada,06/2009
Salmonella,Sconza Candy Company,"Candy, Snack Mix, Peanuts",Sconza,06/2009
Clostridium botulinum,Bao Ding Seafood Co.,Fish,Bao Ding,06/2009
Allergen,Seoul Shik Poom Inc.,Beverage,Honey Jujube Teas,06/2009
Allergen,"Indian Groceries &amp; Spices, Inc.",Fruit and Vegetables,Nirav,06/2009
Allergen,"Indian Groceries &amp; Spices, Inc.",Fruit and Vegetables,Nirav,06/2009
Listeria monocytogenes,"N.Y. Fish, Inc.",Fish,I ? NY Fish,06/2009
Allergen,Le Pain Quotidien,Topping Product,Noir,06/2009
Salmonella,"Provide Commerce, Inc.","Snack Mix, Candy","ProFlowers, Cherry Moon Farms, Secret Spoon, more",06/2009
Salmonella,"Provide Commerce, Inc.","Pistachios, Snack Mix, Candy","ProFlowers, Cherry Moon Farms, Secret Spoon, more",06/2009
Salmonella,"Regal Health Food International, Inc.",Pistachios,Regal,06/2009
Salmonella,Union International Food Company,Fruit and Vegetables,Lian How,05/2009
Listeria monocytogenes,Chang Farm,Fruit and Vegetables,Chang Farms,05/2009
Salmonella,Candies Tolteca,Peanut Products,Candies Tolteca,05/2009
Adverse reaction,"Fun Express, Inc.",Face Paint,"Fun Express, Inc.",05/2009
Salmonella,Season Produce Co.,Pistachios,Season Produce Co.,05/2009
Salmonella,"St. Bernadette&#39;s Circle, St. Rose Church",Pistachios,"St. Bernadette&#39;s Circle, St. Rose Church",05/2009
Allergen,Western Bagel Baking Corporation,Bagel,Publix,05/2009
Incorrect ingredient levels,Nutro Produts,Cat Food,Nutro,05/2009
Undeclared ingredient,Domega International Co Ltd,"Beans, Peanuts, Snack Mix, Candy",FMD,05/2009
Salmonella,Rio Pluma LLC,"Peanuts, Snack Mix","Stapleton, SYSCO Classic, Nugget",05/2009
Manufacturing problem,Roche Diagnostics,Medical Device,"ACCU-CHEK, Coaguchek XS Systems",05/2009
Allergen,Tofutti Brands Inc.,Dessert,Tofutti,05/2009
Salmonella,Edaleen Dairy,Ice Cream,Edaleen Dairy,05/2009
Incorrect ingredient levels,"AS Medication Solutions, LLC",Drugs,Caraco,05/2009
Salmonella,The Nuthouse,Pistachios,The Nuthouse,05/2009
Adverse reaction,"Iovate Health Sciences USA, Inc.",Dietary Supplement,Hydroxycut,05/2009
Salmonella,King Henry&#39;s Inc,Pistachios,King Henry&#39;s,05/2009
Manufacturing problem,Biosite Incorporate,Cardiac Panel Test,Triage,05/2009
Allergen,LeClerc Foods,Snack Bar,Market Pantry,05/2009
Salmonella,Troy Food Company,Pistachios,"Nature&#39;s Best, Tio&#39;s",05/2009
,,,,05/2009
Allergen,Sugar Foods Corporation,Topping Product,The Farmers Market,05/2009
Adverse reaction,"Iovate Health Sciences U.S.A., Inc.",Dietary Supplement,Hydroxycut,05/2009
Salmonella,Sheridan Fruit Company,Pistachios,Sheridan Fruit Company,05/2009
Salmonella,KLEEN-PAK,Fruit and Vegetables,KLEEN-PAK,04/2009
Salmonella,Klein&#39;s Naturals,Pistachios,Klein&#39;s Naturals,04/2009
Salmonella,Pasta &amp; Co,Salad,Pasta &amp; Co,04/2009
Salmonella,The Wisconsin Cheeseman,Pistachios,The Wisconsin Cheeseman,04/2009
Manufacturing problem,Disetronic Medical Systems Inc.,Insulin Pump,ACCU-CHECK,04/2009
Adverse reaction,Personal Care Products,Personal Care Product,Personal Care,04/2009
Salmonella,Premier Nutrition,Snack Bar,Odyssey,04/2009
Salmonella,"Setton International Foods, Inc.","Peanuts, Pistachios, Snack Mix","Fairway, Corrado&#39;s, Setton Farms",04/2009
Salmonella,"Austinuts Wholesale, Inc.","Pistachios, Snack Mix",Austinuts,04/2009
"Undeclared ingredient, Unapproved new drug",Nature Health Co,Dietary Supplement,Nature &amp; Health Co,04/2009
Salmonella,TV Food LLC,Dressing and Seasoning Product,TV Food LLC,04/2009
Incorrect ingredient levels,Land O&#39;Lakes Purina Feed,Animal Feed,Country Acres Layer 16 Crumbles Poultry Feed,04/2009
Allergen,McCormick &amp; Company,Dressing and Seasoning Product,Lawry&#39;s,04/2009
Salmonella,Ricci &amp; Company,Pistachios,Ricci &amp; Company,04/2009
Salmonella,"Los Angeles Calco, Inc.",Fruit and Vegetables,Los Angeles Calco,04/2009
Salmonella,Brent and Sam&#39;s,Cookies,Simply Enjoy,04/2009
Listeria monocytogenes,Torres Hillside Country Cheese,Cheese,Oaxaca,04/2009
Salmonella,Stop &amp; Shop,Cookies,Simply Enjoy,04/2009
Salmonella,Torn &amp; Glasser,"Pistachios, Snack Mix",Torn &amp; Glasser,04/2009
Salmonella,Walgreens,Snack Mix,Deerfield Farms,04/2009
Unapproved drug,"Neilgen Pharma Inc., Advent Pharmaceutical",Drugs,"Advent Pharma, Neilgen Pharma",04/2009
Salmonella,"Mave Enterprises, Inc.",Pistachios,"Mave Enterprises, Inc.",04/2009
Salmonella,Setton Pistachio,Pistachios,Setton Pistachio,04/2009
"Undeclared ingredient, Unapproved new drug","Universal ABC Beauty Supply International, Inc.",Drugs,"ProSlim, 3 Days Fit, Eight Factor Diet, more",04/2009
Salmonella,Ross Nut Cco.,Pistachios,Ross Nut Co,04/2009
Salmonella,Janzen Farms,Pistachios,Janzen Farms,04/2009
Salmonella,Ricci &amp; Company,Pistachios,Ricci &amp; Company,04/2009
Salmonella,Jeppi Nut and Candy Company,Pistachios,Setton Farms,04/2009
Salmonella,Nature&#39;s World LLC,Snack Mix,NW Delights,04/2009
Salmonella,Osage Pecan Company,Pistachio,Osage Pecan Company,04/2009
Salmonella,L &amp; H Industries,Dessert,Nutty Nanners,04/2009
Salmonella,"Virginia Diner, Inc.","Pistachios, Snack Mix","Virginia Diner, Galloway&#39;s, Joe&#39;s Market, more",04/2009
Salmonella,Staples,Pistachios,Crunch Time,04/2009
Salmonella,The Peanut Shop of Williamsburg,Pistachios,Peanut Shop of Williamsburg,04/2009
Salmonella,NOW Foods,Pistachios,NOW Foods,04/2009
Salmonella,"The Swiss Colony, Inc.",Pistachios,"The Swiss Colony, Inc.",04/2009
Allergen,"Alternative Baking Company, Inc.",Cookies,"Alternative Baking Company, Inc.",04/2009
Salmonella,Island Snacks,Pistachios,Island Snacks,04/2009
Salmonella,Nassau Candy,Pistachios,"Shelia&#39;s Delight, Culver Ridge, Shoprite",04/2009
Salmonella,Papa Joes Market,Pistachios,Papa Joes,04/2009
Salmonella,R.U. Nuts Company,Pistachios,R.U. Nuts,04/2009
Salmonella,Union International Food Company,Dressing and Seasoning Product,"Lian How, Uncle Chen",04/2009
Salmonella,Zenobia Company,Pistachios,Zenobia Company,04/2009
Salmonella,"Kamdar Plaza, Inc.",Pistachios,Kamdar Plaza,04/2009
Salmonella,"Indian Groceries &amp; Spices, Inc",Pistachios,"Setton, Nirav",04/2009
Salmonella,Whole Foods Market,"Pistachios, Snack Mix",Whole Foods,04/2009
Salmonella,Superior Nut and Candy,Pistachios,"Streit&#39;s, Superior, Dot&#39;s Finer Snacks",04/2009
Salmonella,Nino Salvaggio International Marketplace,Pistachios,Nino Salvaggio,04/2009
Salmonella,NUTS ON CLARK,Pistachios,NUTS ON CLARK,04/2009
Salmonella,Nassau Candy,Pistachios,"Shelia&#39;s Delight, Culver Ridge, Nassau Candy",04/2009
Incorrect ingredient levels,ION Labs Inc.,Drugs,Influend,04/2009
Salmonella,"Aurora Products,  Inc",Pistachios,"Aurora, Whole Foods, Zabars, more",04/2009
Manufacturing problem,Arrow International,Catheter,Teleflex Medical,04/2009
Salmonella,"In-Room Plus Inc, In-Room West Inc.",Pistachios,Banana Moon,04/2009
Salmonella,Raja Foods LLC,Pistachios,Swad,04/2009
Salmonella,"Albanese Confectionery Group, Inc.","Pistachios, Snack Mix","Albanese Confectionery Group, Inc.",04/2009
Salmonella,Eastern Lamejun Bakers,Pistachios,Eastern Lamejun Bakers,04/2009
Possible contaminiation,Cub Foods,Pimientos,Cub Foods,04/2009
Salmonella,Flanigan Farms,Pistachios,Flanigan Farms,04/2009
Salmonella,House of Flavors Ice Cream Company,Ice Cream,"LaSalle, Sedutto",04/2009
Salmonella,FreshDirect,Pistachios,FreshDirect,04/2009
Salmonella,Bremner Food Group,Pistachios,"Shurfine, Stop &amp; Shop, Giant, more",04/2009
Allergen,Olde Cape Cod Foods,Dressing and Seasoning Product,Olde Cape Cod,04/2009
Salmonella,GNS Foods,"Pistachios, Snack Mix","Setton Pistachios, Great Nut Supply, Snacks on Racks, more",04/2009
Salmonella,"QSP, Inc.",Pistachios,Pleasantville Farms,04/2009
Salmonella,"TOP Food &amp; Drug, Haggen Food &amp; Pharmacy",Pistachios,Setton Farms,04/2009
Salmonella,"Marathon Ventures, Inc.",Pistachios,"HyVee, Herman&#39;s Nut House",04/2009
Salmonella,Ashdon Farms,Pistachios,Girl Scouts,04/2009
Salmonella,Werner Gourmet Meat Snacks Inc.,Pistachios,Werner Gourmet Snacks,04/2009
Salmonella,Hines Nut Company,Pistachios,Hines Nut Company,04/2009
Salmonella,"Rocky Mountain Foods, Inc.",Pistachios,Whole Foods,04/2009
Salmonella,Harry and David,Candy,Harry and David,04/2009
Salmonella,Ann&#39;s House of Nuts,Pistachios,"Ann&#39;s House of Nuts, Ann&#39;s House, Setton Farms",04/2009
Salmonella,Everson Distributing Co.,Pistachios,Watta Munch,04/2009
Salmonella,"Amalgamated Produce, Inc.",Fruit and Vegetables,"Specialty Farms, Vermont Sprout House, Nature&#39;s Promise, more",04/2009
Undeclared ingredient,Mrs. Grissom&#39;s Salads,Dressing and Seasoning Product,Mrs. Grissom&#39;s Salads,04/2009
Salmonella,"Amalgamated Produce, Inc.",Fruit and Vegetables,Specialty Farms,04/2009
Salmonella,"Wegmans Food Markets, Inc.","Cake and Pie, Candy",Wegmens,04/2009
Salmonella,"John B. Sanfilippo and Son,  Inc","Pistachio, Snack Mix",Archer Farms,04/2009
Salmonella,Bezzerides Co.,Pistachios,Art&#39;s,04/2009
Salmonella,Diamond Foods,Pistachios,Emerald,04/2009
Salmonella,"Eillien&#39;s Candies, Inc.","Pistachios, Snack Mix","Eillien&#39;s, Blain&#39;s Farm &amp; Fleet, Mill&#39;s Fleet Farm, more",04/2009
Salmonella,Mountain Man Nut &amp; Fruit Co.,Pistachios,Mountain Man Nut &amp; Fruit Co.,04/2009
Salmonella,Sendik&#39;s Food Markets,Pistachios,Setton Farms,04/2009
,,"Harry and David Expands Nationwide Recall to Include &quot;A Gift for You&quot; Boxed Nut Collection Sold in Harry and David Stores Due to the Pistachio Recall by Setton Pistachio of Terra Bella, Inc.",,04/2009
Salmonella,Renfroe Pecan Company,"Pistachios, Snack Mix",J.W. Renfroe Pecan Company,04/2009
Salmonella,"Hickory Harvest Foods,  I M Good Snacks",Pistachios,"Hickory Harvest, I M Good",04/2009
Salmonella,Barnard Nut Company,Pistachios,Nuts About Florida,04/2009
Allergen,Fineland Corp,Fruit and Vegetables,Mong Lee Shang,04/2009
Salmonella,"Shale Snacks, Inc.",Pistachios,"Sahale Snacks, Harry and David",04/2009
Salmonella,Lake Champlain Chocolates (LCC),"Candy, Snack Mix",Lake Champlain Chocolates,04/2009
Salmonella,"Gurley&#39;s Foods, Inc.",Pistachios,Mountain Country,04/2009
Salmonella,Asia Cash and Carry,Fish,KESKI,04/2009
Adverse reaction,Castillo Distributor,Drugs,Monell&#39;s,04/2009
Salmonella,Azar Nut Company,Pistachios,"Azar, Baker&#39;s Select, Sysco, more",04/2009
Salmonella,Powers Candy and Nut Company,Pistachios,Powers,04/2009
Salmonella,"John B. Sanfilippo and Son,  Inc",Pistachios,Fisher,04/2009
Salmonella,Trophy Nut Company,Pistachios,"Trophy Nut, Patriots Choice, Nut Barrel, more",04/2009
Salmonella,Sendik&#39;s Food Markets,Pistachios,Sendik&#39;s Food Markets,04/2009
